what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928110877
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366928111992
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928114234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928232447
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366928234550
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366928236354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1366928252115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366928254282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928269286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928270019
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366928271888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928278576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928295571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928297657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928406169
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366928407003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1366928477991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366928486916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366928494572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366928500429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928511393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928512182
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366928515675
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928529230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928531720
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366928531903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928536294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366928545737
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366928547250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366928549219
