what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366922724284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1366922726352
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366922732332
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366922737164
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366922763822
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366922768792
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366922768844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922789332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922790227
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366922792408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922805822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922807441
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366922807572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922814674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922818496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922819874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922825019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922825675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922828771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366922829505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923003259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923014304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923015138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923015736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923049282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923049285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923051442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923052482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923072243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923075875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923088266
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366923096548
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366923096743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923129585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923130463
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366923134881
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366923144380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923146912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923152283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923153726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923224636
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366923231036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923257181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923408459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923476655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923478341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923478343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923478935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923479999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366923480106
